"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"Canadians reacted to the election of Mr. Trump with concerns, anxiety and a whiff of pride.","https://www.nytimes.com/2016/11/10/world/americas/as-donald-trump-took-the-lead-canadas-immigration-website-buckled.html","Canadians reacted to the election of Mr. Trump with concerns, anxiety and a whiff of pride.","OTTAWA — The move-to-Canada memes started spreading in earnest shortly after Donald J. Trump looked increasingly likely to win Florida: “Election Night Starter Kit,” read a post on Instagram, above photos of United States passports and an Air Canada plane. Another post depicted a machine-gun-toting man riding a moose, with the words “Canadian Border Patrol Watching for Illegal Americans.”","A","3","The New York Times","2016-11-09T15:42:56+0000","article","Foreign","World","News","nyt://article/7e216c2c-79b3-5ead-8f8f-bae2843b7eed",838,"nyt://article/7e216c2c-79b3-5ead-8f8f-bae2843b7eed","Americas","As Americans Look North to Flee Donald Trump, Canada Peers Back in Worry",NA,NA,"Anxiety, and Jokes, North of Border After U.S. Vote",NA,NA,NA,"By Ian Austen and Dan Levin",NA
"Donald Trump appears likely to enact a fun-house mirror version of something many liberal economists have advocated for years.","https://www.nytimes.com/2016/11/10/upshot/the-trump-administration-could-test-whether-deficits-help-the-economy.html","Donald Trump appears likely to enact a fun-house mirror version of something many liberal economists have advocated for years.","Here’s a surprising conclusion you reach when you start to game out what economic policy will look like in Donald J. Trump’s administration: While many details of his policy agenda are likely to be staunchly opposed by the left, Mr. Trump appears likely to enact a fun-house mirror version of what many liberal economists have advocated for years: Keynesian fiscal stimulus.","B","1","The New York Times","2016-11-09T16:50:12+0000","article","Business","The Upshot","News","nyt://article/395e31f4-c7fb-526b-8755-3413d577f2eb",898,"nyt://article/395e31f4-c7fb-526b-8755-3413d577f2eb",NA,"The Trump Administration Could Test Whether Deficits Help the Economy","Fiscal Policy",NA,"The Liberal Idea Lining Trump’s Economic Policies",NA,NA,NA,"By Neil Irwin",NA
"Leadership changes are expected, as well as a shift in the focus of prosecutors, and the S.E.C. will be a target for restrictions.","https://www.nytimes.com/2016/11/10/business/dealbook/how-trumps-presidency-will-change-the-justice-dept-and-sec.html","Leadership changes are expected, as well as a shift in the focus of prosecutors, and the S.E.C. will be a target for restrictions.","The surprise election of Donald J. Trump as president raises questions about the changes he will make to the leadership of the Justice Department, including the possibility of a shift in the focus of prosecutors to different areas. Just as important, with Republicans still in control of Congress, there may be an opening to change the Securities and Exchange Commission’s enforcement program.",NA,NA,"The New York Times","2016-11-09T17:01:26+0000","article","Business","Business Day","News","nyt://article/dd796fdd-35cf-5b75-96d0-da484c291a22",1442,"nyt://article/dd796fdd-35cf-5b75-96d0-da484c291a22","DealBook","How Trump’s Presidency Will Change the Justice Dept. and S.E.C.","White Collar Watch",NA,"",NA,NA,NA,"By Peter J. Henning",NA
"The court is again set to tilt right, and that may be only the start. Liberals, though, hope that conservative justices will restrain Mr. Trump’s ambitions.","https://www.nytimes.com/2016/11/10/us/politics/trump-supreme-court.html","The court is again set to tilt right, and that may be only the start. Liberals, though, hope that conservative justices will restrain Mr. Trump’s ambitions.","WASHINGTON — The election of Donald J. Trump means that Justice Antonin Scalia’s seat, vacant since he died in February, will almost certainly be filled by a conservative nominee. Back to full strength, the court will again tilt right, as it has for decades.","P","7","The New York Times","2016-11-09T17:52:41+0000","article","National","U.S.","News","nyt://article/cfded0da-e154-532f-81c5-7817b4ed31ed",1096,"nyt://article/cfded0da-e154-532f-81c5-7817b4ed31ed","Politics","What the Trump Presidency Means for the Supreme Court",NA,NA,"Court Is Set to Tilt Right, but It May Play a Surprising Role: Impeding Trump",NA,NA,NA,"By Adam Liptak",NA
"Donald Trump’s appointments and some of his policies might benefit banks, but his erratic positions on other issues could mean long-term pain.","https://www.nytimes.com/2016/11/10/business/dealbook/what-trumps-victory-might-mean-for-banks.html","Donald Trump’s appointments and some of his policies might benefit banks, but his erratic positions on other issues could mean long-term pain.","Donald J. Trump’s surprise election victory should bring some welcome relief to banks. A Republican Party in control of Congress also usually appeals to the financial markets.",NA,NA,"The New York Times","2016-11-09T18:09:20+0000","article","Business","Business Day","News","nyt://article/14d69add-5352-537f-871a-86c3c672cbc8",399,"nyt://article/14d69add-5352-537f-871a-86c3c672cbc8","DealBook","What Trump’s Victory Might Mean for Banks","Breakingviews",NA,"",NA,NA,NA,"By Antony Currie and Dominic Elliott",NA
"Exploring prospects for the environment, and challenges for environmentalists, in a Trump presidency.","https://dotearth.blogs.nytimes.com/2016/11/09/prospects-for-the-environment-and-environmentalism-under-president-trump/","Exploring prospects for the environment, and challenges for environmentalists, in a Trump presidency.","President Donald J. Trump.",NA,NA,"The New York Times","2016-11-09T18:09:35+0000","article","OpEd","Opinion","News","nyt://article/dedabfb6-c576-57ec-822b-e1c19b26de9b",1872,"nyt://article/dedabfb6-c576-57ec-822b-e1c19b26de9b",NA,"Prospects for the Climate, and Environmentalism, Under President Trump","Dot Earth",NA,"",NA,NA,NA,"By Andrew C. Revkin",NA
"Democrats were particularly crestfallen that Hillary Clinton had a slender lead in the popular vote but lost in the Electoral College, a fate similar to Al Gore’s in 2000.","https://www.nytimes.com/2016/11/10/us/politics/donald-trump-election-reaction.html","Democrats were particularly crestfallen that Hillary Clinton had a slender lead in the popular vote but lost in the Electoral College, a fate similar to Al Gore’s in 2000.","The American political establishment reeled on Wednesday as leaders in both parties began coming to grips with four years of President Donald J. Trump in the White House, a once-unimaginable scenario that has now plunged the United States and its allies and adversaries into a period of deep uncertainty about the policies and impact of his administration.","A","1","The New York Times","2016-11-09T18:44:42+0000","article","National","U.S.","News","nyt://article/4abd91e2-8422-517e-8912-fae5876052de",1570,"nyt://article/4abd91e2-8422-517e-8912-fae5876052de","Politics","Donald Trump’s Victory Is Met With Shock Across a Wide Political Divide",NA,NA,"Democrats, Students and Foreign Allies Face the Reality of a Trump Presidency",NA,NA,NA,"By Patrick Healy and Jeremy W. Peters",NA
"It has become a reflexive postelection threat, and this time is no different.","https://www.nytimes.com/2016/11/10/us/-canada-immigration.html","It has become a reflexive postelection threat, and this time is no different.","It has become a reflexive pledge, often half-joking, after an election: Worried about the next president? Move to another country.",NA,NA,"The New York Times","2016-11-09T18:53:36+0000","article","Foreign","U.S.","News","nyt://article/e6ea6640-a257-5603-a665-5ac6d06d59a9",994,"nyt://article/e6ea6640-a257-5603-a665-5ac6d06d59a9",NA,"Want to Move to Canada? Europe? Somewhere? Trump’s Impact Will Follow You",NA,NA,"",NA,NA,NA,"By Jonah Engel Bromwich",NA
"Our critics and reviewers on books that analyze the shifts that drove one of the most stunning political upsets in the nation’s history.","https://www.nytimes.com/2016/11/10/books/6-books-to-help-understand-trumps-win.html","Our critics and reviewers on books that analyze the shifts that drove one of the most stunning political upsets in the nation’s history.","For those trying to understand the political, economic, regional and social shifts that drove one of the most stunning political upsets in the nation’s history on Tuesday, we have some suggested reading from our critics and reviewers.",NA,NA,"The New York Times","2016-11-09T19:29:41+0000","article","Culture","Books","News","nyt://article/abf9e714-3f10-5baf-924b-7a10ad9bc512",1077,"nyt://article/abf9e714-3f10-5baf-924b-7a10ad9bc512",NA,"6 Books to Help Understand Trump’s Win",NA,NA,"",NA,NA,NA,"By The New York Times","The New York Times"
"Both presidential candidates supported improvements, and at least 33 local or state ballot measures on public transportation appear to have passed.","https://www.nytimes.com/2016/11/10/nyregion/what-trump-clinton-and-voters-agreed-on-better-infrastructure.html","Both presidential candidates supported improvements, and at least 33 local or state ballot measures on public transportation appear to have passed.","At the end of a stunning and divisive election that left many Americans feeling further apart than ever, there was perhaps one area of common ground: infrastructure.","A","12","The New York Times","2016-11-09T20:24:50+0000","article","National","New York","News","nyt://article/f867c011-b93e-5131-a23b-599d28b7831b",979,"nyt://article/f867c011-b93e-5131-a23b-599d28b7831b",NA,"What Trump, Clinton and Voters Agreed On: Better Infrastructure",NA,NA,"Infrastructure Emerges as a Winner in Elections",NA,NA,NA,"By Emma G. Fitzsimmons",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/10/briefing/asia-briefing.html","Here’s what you need to know to start your day.","Good morning. ",NA,NA,"The New York Times","2016-11-09T21:06:22+0000","article","NYTNow","Briefing","briefing","nyt://article/883564eb-fa4a-5cb6-9897-a58cb53be03e",1108,"nyt://article/883564eb-fa4a-5cb6-9897-a58cb53be03e",NA,"Donald Trump, Russia, Rodrigo Duterte: Your Thursday Briefing","Asia Pacific Edition",NA,"",NA,NA,NA,"By Charles McDermid",NA
"Some analysts say his plans to spur growth with a tax cut, infrastructure spending and other actions could lead the Fed to continue raising rates.","https://www.nytimes.com/2016/11/10/business/economy/trump-federal-reserve-interest-rates.html","Some analysts say his plans to spur growth with a tax cut, infrastructure spending and other actions could lead the Fed to continue raising rates.","WASHINGTON — The Federal Reserve remains on course to raise its benchmark interest rate in December as investors generally reacted with equanimity to the election of Donald J. Trump as the next president of the United States.","B","7","The New York Times","2016-11-09T21:07:22+0000","article","Business","Business Day","News","nyt://article/e98c607d-46f2-5044-aa1a-52f2c16117a4",886,"nyt://article/e98c607d-46f2-5044-aa1a-52f2c16117a4","Economy","Trump Victory Could Prompt Fed to Raise Rates More Quickly",NA,NA,"Trump’s Victory Could Prompt Fed to Raise Interest Rates More Quickly",NA,NA,NA,"By Binyamin Appelbaum",NA
"For some, there was a realization that the tech industry’s relationship with government — and the public — is likely to shift in a fundamental way.","https://www.nytimes.com/2016/11/10/technology/trump-election-silicon-valley-reels.html","For some, there was a realization that the tech industry’s relationship with government — and the public — is likely to shift in a fundamental way.","Silicon Valley’s luminaries woke up Wednesday morning to a darkened new global order, one that the ceaseless optimism of their tech-powered visions seemed suddenly unable to conquer.","B","1","The New York Times","2016-11-09T21:15:39+0000","article","Business","Technology","News","nyt://article/70bd4f24-4003-5d43-8f29-6c68fc3893f0",1123,"nyt://article/70bd4f24-4003-5d43-8f29-6c68fc3893f0",NA,"Silicon Valley Reels After Trump’s Election","State of the Art",NA,"In Trump, Tech Leaders Fear Challenge to Vision",NA,NA,NA,"By Farhad Manjoo",NA
"We need to be watchdogs, not lap dogs.","https://www.nytimes.com/2016/11/10/opinion/gritting-our-teeth-and-giving-president-trump-a-chance.html","We need to be watchdogs, not lap dogs.","Sure, if you’re in the approximately 52 percent majority of voters who supported someone other than Donald Trump, go ahead and mourn. When a former Ku Klux Klan leader like David Duke is giddily celebrating a political triumph for his values, how can we not ache for our own?","A","23","The New York Times","2016-11-09T21:23:59+0000","article","OpEd","Opinion","Op-Ed","nyt://article/4878d5e5-dc16-5fad-bfd8-e32506bd140a",826,"nyt://article/4878d5e5-dc16-5fad-bfd8-e32506bd140a",NA,"Gritting Our Teeth and Giving President Trump a Chance","Op-Ed Columnist",NA,"Let’s Now Hope Trump Succeeds",NA,NA,NA,"By Nicholas Kristof",NA
